text,score
আমার পছন্দের একজন লেখক ছিলেন কোটা আন্দোলন নিয়ে আপনার বক্তব্য যখন সরকারের মনপূত হলোনা আপনিও সাথে সাথে আপনার বক্তব্য ঘুরিয়ে সরকারের পদলেহন করলেন একজন মন্ত্রী সকল সাধারন ছাত্রকে রাজাকার বলল আর আপনি ঘুরিয়ে ফিরিয়ে উশৃঙ্খল অমানবিক বললেন আপনি কি এটা দেখেন নি ছাত্ররা সেদিন নিজ দায়িত্বে এম্বুলেন্স গুলো রাস্তা পার করে কোন দিন রাজনৈতিক নেতাদের জন্য ঘন্টার পর ঘন্টা এম্বুলেন্স আটকে থাকা নিয়ে তো আপনি মন খারাপ করেন নি সেদিন গাজীপুরের মেয়র প্রার্থী জাহাঙ্গীর আলমের নির্বাচনী মিটিং এর জন্য ঘন্টা রাস্তা বন্দ ছিল আমাদের ভার্সিটির অনেকে পরীক্ষা দিতে পারেনি এসব আপনাকে কষ্ট দিবে না সরাসরি রাজনৈতিক বক্তব্য দিলে ই পারেন রাজনৈতিক পছন্দ থাকতে ই পারে কিন্তু একটা সঠিক এবং ন্যায় আন্দোলন কে নিয়ে সমালোচা করলেন এটা দেখার পর পর ই আপনার লেখা বই কোন দিন কিনবো না বলে প্রতিজ্ঞা করেছি,2
আমার পছন্দের একজন লেখক ছিলেন কোটা আন্দোলন নিয়ে আপনার বক্তব্য যখন সরকারের মনপূত হলোনা আপনিও সাথে সাথে আপনার বক্তব্য ঘুরিয়ে সরকারের পদলেহন করলেন একজন মন্ত্রী সকল সাধারন ছাত্রকে রাজাকার বলল আর আপনি ঘুরিয়ে ফিরিয়ে উশৃঙ্খল অমানবিক বললেন আপনি কি এটা দেখেন নি ছাত্ররা সেদিন নিজ দায়িত্বে এম্বুলেন্স গুলো রাস্তা পার করে কোন দিন রাজনৈতিক নেতাদের জন্য ঘন্টার পর ঘন্টা এম্বুলেন্স আটকে থাকা নিয়ে তো আপনি মন খারাপ করেন নি সেদিন গাজীপুরের মেয়র প্রার্থী জাহাঙ্গীর আলমের নির্বাচনী মিটিং এর জন্য ঘন্টা রাস্তা বন্দ ছিল আমাদের ভার্সিটির অনেকে পরীক্ষা দিতে পারেনি এসব আপনাকে কষ্ট দিবে না সরাসরি রাজনৈতিক বক্তব্য দিলে ই পারেন রাজনৈতিক পছন্দ থাকতে ই পারে কিন্তু একটা সঠিক এবং ন্যায় আন্দোলন কে নিয়ে সমালোচা করলেন এটা দেখার পর পর ই আপনার লেখা বই কোন দিন কিনবো না বলে প্রতিজ্ঞা করেছি,2
আমার বাল এখনও কটকটা কালা তর চুল দলা হইলো তুমারে না ইচ্ছে করে বিচি রাবার বাইন্দা গ্রিল কাবাবের গরম আগুনের উপরে জুলাই রাখবার শালা খানকি,1
আমার মনে হয় বাংলাদেশে প্রভার পরে সবচাইতে বেশী খারাপ সমালোচনা পিয়া বিপাসাকে নিয়েই,1
আমার রুমমেট আপু কয়েকদিন আগে গেছিলো যাওয়া যায়,2
আমার হাগু ধরেছে,1
আমার হোগা মারা সারা,1
আমি আমার প্রিয় দেশ নিয়ে জানি এই মিল্কভিটার খনির জন্য পশ্চিমা বিশ্ব হামলা করে,1
আমি ওর বিচি দুইটা কেটে নিয়ে টরাস টরাস করে মার্বেল খেলব,1
আমি কোনোদিন কাউরে গালি দেই নাই কিন্তু তোদের দেখলে গালি শিখতে মন,1
আমি ঘটনার সময় জিগাতলা ক্রস করছিলাম,2
আমি তোমার বডি মাসাজ করে দিতে চাই,1
আমি তোমার ভোদা দেকি,1
আমি তোমালে খুব পছনদ করি বেবী,1
আমি তোরে পাইলে তোর নাকের নিচের বালে আগুন লাগাইয়া দিব নডিরপুত আরিপ্পা,1
আমি নাটোর গিয়ে কাচাগোল্লা খুজি গোল্লাতো আর পাইনা দোকানি কে প্রশ্ন করি ভাই কাচাগোল্লা কই দোকানি কাচা গোল্লা দেখাই বলে এটাই কাচাগোল্লা আমি বলি এটাতো,2
আমি যেখানে থাকি সেখান থেকে মাত্র মিনিটের পথ,2
আমি সিউর এইটা টেস্টি হবেই,1
আমি হেতার ডেরাইহাড,1
আমিও এখন থেকে জিপার খুলে রাস্তা দিয়ে হাঁটবো তাহলে এইটাও আর্ট হবে,1
আম্নে বেচ্যা সুন্দরী পোতিযোগীতা করেন,1
আম্মু মন খারাপ করিস আমি যে কোন প্রয়োজনে আমাকে আমি তোদের সবাইকে ভালবাসি ভাল,2
আর ও হট চাই,1
আর কোন কাজ,2
আর তোরে প্রতিরোধের জন্য তোর গোয়ায় বাতাবি লেবু ভরে দিয়ে আধা ঘন্টা রড দিয়ে নাড়াচাড়া করবো তারপর সেই নিউজ বিটিভি তে প্রচারিত হবে একজন সফল লেবু চাষীর গল্প সময় থাকতে ধর্মের পথে আয় মাদারচুদ,1
আরিপ বাই আফনে অনেক ইসমাট আমি আফনার অনেক বড় একটা এছি,1
আরিপ বাই রাগ কইরেন না গিবনে প্রথম আপনার লগে পাজলামি করলাম,1
আরিপ্পা কে মরুভুমিতে দেখা যাচ্ছে না তুই ও শেষ পর্যন্ত নারী পাচারের শিকার দের হোগা মারা খাইতে রিপ্লে না দিলে তুই তোর আম্মুরে লাগাইস,1
আরিপ্পা তোর ড্রেস আপ,1
আরিপ্পা তোর হোগার টস টস কইরা কাচা বেত দিয়া পিটায়া ওই জায়গায় লবন মরিচ দিয়া দিমু,1
আরিপ্পা শালা তোকে হাল্কা চুদে ফর্মে এনে রাস্তায় ফেলে দিবো শালা গন্ডারের বাচ্চা গন্ডার শালা আসলেই একটা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা বেগুন চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদা চোদাআরিপ্পা মাদারচোদ তোর গুয়া তাবিজ্জারে দিয়া ব্লাস্ট করুম,1
আরিফ একটা,1
আরিফ তোমারে আমি পাইনা না ক্যান এটা মনে রাইখো যদি ভুলেও আমার চোখের সামনে পড়না হলিডে মোড়ের সেই ডাস্টবিনের উপরে সারাদিন খাড়া করাই রাখবো কেউই ঠেকাইতে পারবোনা,1
আরিফ সেফাতউল্লাহ তোরে পাইলে স্রিত স্রিত করে আখের রস ঢেলে দিবে তোর পিছনে,1
আরিফ্ফা লো তোর লম্বা লম্বা বাল জিলেট রেজার কিনে নিজের বাল ছেটে ফ্যাল লো,1
আরেকটা অপশন দরকার ছিল দেখি,2
আরোও দেন তাড়াতাড়ি ক্ষিদা লেগে গেলো তো,2
আল নিজেকে মেসি লেভেলে নিয়ে যেতে মে বি প্রত্যেকটা মানুষকে ধরে ধরে পিটাইতেন সে এত অটোগ্রাফ চাইতেই তাঁর হাতে লাঘেস ছিলো বা মাএই ম্যাচ সে তারপরেও তাঁর এর প্রতি ব্যবহার কোন ভাবেই প্রত্যাশিত নহে,2
আল্লাহ পবিত্র হজ্ব কবুল করুন আমাদের অলরাউন্ডার সাকিব দেশের গর্ব জাতির,2
আল্লাহর ওয়াস্তে অশ্লীলতা করার জন্য বাকি মাস পড়ে আছে এই একটা মাস আমাদেরকে অশ্লীলতা থেকে বিরত রাখ বাকি মাস পরে রয়েছে তোর অশ্লীলতা দেখার জন্য তখন মন খুলে ইচ্ছামত দেখাইস,1
আসছে,1
আসলে তুমি খুব সুন্দরী,2
আহ মধু মধু,1
আহা দুদু কইরে বিপাশা খানকি,1
আহা মাদার দোচা বললেন বললেই পারতেন গালি দিতে বাধা কিসের,1
আহারে বেচারা দুদু গুলো শুকিয়ে গেছে,1
আহ্ চারটা মাগি একসাথে সমুদ্রের পাশে দাড়িয়ে খদ্দর খুজতেছে,1
আড়িপ্পা তুই ইন্ডিয়া যা ওখানে পাছাকামিতার বৈধতা দিয়েছে,1
আয় ইন্ডিয়া যাই তোকে কাল্ত করতে আইনি কোন বাধা থাকবে না খানকির পোলা গে,1
আয়মান কে দুইদিন চুদে মানুষ বানিয়ে ফেল্লাম তোরে কন্টিনিউ চুদেও পারলাম না আমার ব্যার্থতা,1
ইচ্ছা করতাছে তোর ল্যাওড়া টাইন্যা লম্বা কইরা দিতে যাতে নিজের পোন্দে নিজের ল্যাওড়া ঢুকাইতে পারস আর নিজেই কইবি খাংকির পোলা জোরে দে,1
ইচ্ছা করতাছে তোর হোগার ভিত্রে কবুতর ঢুকাইয়া হাত তালি দিতে যাতে তোর হোগার ভিতরে কবুতরের ছটফটানিতে তুই মইরা যাস,1
ইচ্ছা করতাছে তোর হোগার ভিত্রে কবুতর ঢুকাইয়া হাততালি দিতে যাতে কবুতরের ছটফটানিতে তুই মইরা যাস,1
ইঞ্জিনিয়ার উজ্জ্বল চৌধুরী আমার সোনার পেন্টি টা খুলতে একটু পর যাওয়ার জন্য করছে সে আমাকে,1
ইদানিং তুই বেশী চালাক হইয়া জুম্মার নামাজের আগে ছবি আপলোড দেস তারাবীর নামাজের আগে কি নামাজের যাওয়ার আগে তো আর মানুষ গালি দিবে তাই হালা দেখ জুম্মা শেষে হাজার হাজার মানুষ তোরে এসব কামলাচোদা ছবিরে আর তোরে কিভাবে পুটকি মাইরা আকাশে পাঠায়,1
ইদানীং অনেক পোংটা হয়েছ ছোট্ট বন্দু সারাদিন মজা করো,1
ইন্ডিয়া চলে যা চোদনা,1
ইমতিয়াজ রোকন জাহিদ অপু মাহফুজ রায়হান সাইবিন জান্নাত জেসিয়া করো না সেরা,2
ইমন তোমার বউকে জন্মদিনের শুভেচ্ছা,2
ঈদের আগে কুরবানির বলদ গরু আর গাই গুলার শেষ আহারে,1
ঈদের আগে গরু খাওয়ার প্রস্তুতি হিসাবে পেটের সব হাগু চেপে চেপে বের করে ফেলছে বোনটি সেই হাগু খেয়ে পরিবেশ ঠিক রাখতে এগিয়ে এসেছে জাতীয় পতিতা আরিপ্পা,1
এ ভাই তোর গুয়া যদি কুত্তা দিয়ে মাইরা লইতে পারতাম তাহলে মনের জ্বালা মিটতে,1
এই কথা গুলো আমি বারংবার মানুষকে বুঝাতে চেষ্টা করি অনেকেই বুঝে অনেকেই বুঝে না,2
এই কমেন্টটি আপনি হয়তো পড়বেন না তবু লিখছি আপনার দেশের মানুষ নই কিন্তু আপনার ভাষা আর আমার ভাষা আপনার দেশকে যতটা না ম্যাপ দিয়ে চিনেছি কিংবা আমার পূর্বপুরুষের শিকড় ছেঁড়ার স্মৃতি দিয়ে চিনেছি তার চেয়েও অনেক বেশী জেনেছি আপনার দাদা হুমায়ুন আহমেদ ও আপনার লেখা দিয়ে তাই বড়ো আপন মনে হয় আপনি আক্রান্ত হওয়ার পর বুকে ছ্যাৎ করে মানুষের বিপদে যেমন হয় আপনি সুস্থ হয়ে উঠুন খুব শিগ্গির কাঁটাতারের এই পারে আমরাও আপনার দেশের মানুষের মতোই আপনার আরোগ্য কামনা করি,2
এই কমেন্টটি আপনি হয়তো পড়বেন না তবু লিখছি আপনার দেশের মানুষ নই কিন্তু আপনার ভাষা আর আমার ভাষা আপনার দেশকে যতটা না ম্যাপ দিয়ে চিনেছি কিংবা আমার পূর্বপুরুষের শিকড় ছেঁড়ার স্মৃতি দিয়ে চিনেছি তার চেয়েও অনেক বেশী জেনেছি আপনার দাদা হুমায়ুন আহমেদ ও আপনার লেখা দিয়ে তাই বড়ো আপন মনে হয় আপনি আক্রান্ত হওয়ার পর বুকে ছ্যাৎ করে মানুষের বিপদে যেমন হয় আপনি সুস্থ হয়ে উঠুন খুব শিগ্গির কাঁটাতারের এই পারে আমরাও আপনার দেশের মানুষের মতোই আপনার আরোগ্য কামনা করি,2
এই গুলো বলে কেউ কেউ নিজেকে স্মার্ট দাবি করে কিন্তু এই মানুষ গুলোই কিন্তু রিয়েল হিরো,2
এই পাগলেরে সিরিয়া নেওয়া দরকার কি বলেন সবাই,1
এই পুরস্কার কি সাইজের জন্য,1
এই প্রথম বোনের ছবি এক সেল্ফি মজা কি মজা,1
এই বাবে বলতে নেই,1
এই ভাবে দেখাবে,1
এই মেয়ে গুলা যখন তোর ফানপেইজ দেখবে তখন তাদের আত্মহত্যা করা ছাড়া আর কোন উপায় থাকবে না,1
এই মেয়েটার রেট কেমন প্লিজ পকেটে টাকা আছে,1
এইটা কি,2
এইতো মানসিক রোগী,1
এইদিকে আসলে খবর দিও,2
এইবার ঠিক আছে সেই মানাইছে তোমার সাথে,1
একটা অনুরোধ থাকবে আপনি এবং বাংলাদেশের সকল ট্রাভেলারদের প্রতি যেখানেই যাবেন চেকইন দিবেন পারলে গুগল ম্যাপে সংযুক্ত করে দিবেন চেকইনটা অন্য ট্রাভেলারদের গন্তব্যে পৌঁছাতে সাহায্য করবে,2
একটা দিবি লবন ছাইতাম কিচ্চু কর্তাম না,1
একটা মানুষ কেমনে এত মাদারচুদ অবার পায় বুঝি না আমি সিডর এ বাংলার এত ক্ষয়খতি অইছিল তুই চুতোমারানি মইরা গেলে এদেশের একটা অন্তত লাভ অইতো মইরা যা বানচোত,1
একটু আগে আমার এক বন্ধু তার একটি পোষ্টে আমাকে মেনশন দিয়েছে তো মন্তব্যগুলো দেখে তো চোখ কপালে উঠে গেছে পরে সবগুলো পড়তে লাগলাম পিক থেকে গত মে মাসের সবগুলো পিকের কমেন্ট ছেলেটির ধৈর্যশক্তির তারিফ করতে হয় এত্তসব গালি খেয়েও পোষ্ট করে যাচ্ছে কেন এই অবলা প্রাণীটাকে আপনারা গালি দিচ্ছেন বুঝতে পারছি না রীতিমতো গালি চর্চার প্লাটফর্মে পরিণত হয়েছে এই অবলা প্রাণীটি কিন্তু আমি জানি না প্লিজ কেউ,1
একদম মিয়া খলিফার মত লাগতেছে,1
এক্স,0
এখন কি পেয়াড়া মৌসুম আছে এখন গেলে কি ভাসমান বাজার সম্পূর্ণভাবে,2
এটা কি দিলা গো তুমি,2
এটা কি দিলা গো তুমি,2
এটা কিনেছি টাকা দিয়ে,2
এটা ক্রয় করলাম ভাই,2
এটা বাংলাদেশ নয় তো,0
এটার চেয়ে নোভা টা এর ছবি এত ক্লিয়ার না,2
এত আবেদনময়ী,1
এত গোস্ত একসাথে পেয়ে তাদের প্রিজার্ভ করার উপায় নাই দেখে নস্ট না করে যদি বিক্রি করে দেয় এতে দোষের কিছু আমি দেখছিনা এটা দেখে যদি কারো খটকা লাগে তবে সে ছোট লোক বরং এটা বুদ্বিমানর কাজ বলে মনে হয় পজিটিভ সাইডটা দেখি আমরা,2
এতো কিউট কেনো,2
এতো যায়গায় ঠাডা পরে এ হোগাত দুই একটা পরে না কেন,1
এত্ত স্মার্ট একটা পোলা পেইজ ডুক্লে মনে হবে আপনি আসলেই একটা হিরো তুই আসলেই একটা গন্ডার মাদার টোস্ট হালার পো,1
এন্টি ভাইরাছ তুমি,2
এবং ওরা ওদের হিংসে লুকোতেও জানে এসে হামলে পড়বে কমেন্টস সেকশনে এবং জানান দিয়ে যাবে যে তারা হিংসার বিষে দংশিত খুজে বের করতে হয় না এমনেই আগ বাড়িয়ে চলে প্রমান একটু অপেক্ষা করুন কমেন্টস সেকশনে,2
এভাবে আর কত,1
এভারেস্ট এর চুরা আর দেখান না,1
এমন সময় আপনি পোস্ট করছেন যে সময় আমার ফোনে একটা এমবি ও জন্য কিছুই দেখতে পাচ্ছি,2
এর অবসতা দেখে মনে হয় ওকে জন মিলে রেপ করে এই মমাএ ছেড়েছে,1
এরপর যখন যাবি আমিও যাবো আর এইগুলি সব ঘুরে আসব,2
এরে আরিপ্পা পাডার পো পাডা লোহা গরম করে লাল করে তোর পাছা দিয়া ঠান্ডা অংশ ডুকামু আর গরম অংশ বাহির করে রাখমু জেনো বাহির করতে না পাছত,1
এরে আরিপ্পা শান্তির পুত তোরে লেংন্টা কোইরা মান্দার গাছের সাথে বাইন্ধা বোল্লার বাসা তোর গায়ে ভাইঙা দিমু,1
এলন রেসমি,1
এস এম রনি বাবু,2
এসব খাংকিদের কাছ থেকে দুরে থাকুন,1
এসব পিক তোমারে মানায় না বেপি তুমি আরো কাছ থেকে বুকের পাঠা দেখিয়ে ছবি আপ্লোড করবে,1
ঐ দেখা যায় তাল আমাদের খানেতে বাস আপু এইগুলা কিন্তু ঠিক না এমনে পোজ দিয়ে ছবি তুলে পিচ্চি পিচ্চি ছেলেদের হাতে কত শত খুন দায় কে,1
ও শোনা হেবি লাগছে,1
ও সোনা আসো নাকি,1
ওই চুতমারানি মাত্র হোম পেইজে ডুকলাম আর দেখি তুই তর বইন লেসবু পার্টানার এর পিক তাবিজ্জার বালের সাথে প্যাচাইয়া গুলিস্তান এর কুত্তা দিয়ে পুটকি মারামু,1
ওই মোটি,1
ওকে দেওয়া ছাইড়া দিসি বাইচা গেছস রে খানকিরপোলা,1
ওকে ভাই,2
ওত আবাল রে কুত থেকে আসে,1
ওফ্,2
ওরে মাতালি তুই আর সময় পাইলি না,1
ওরে মোর নায়লা এ তুমি কি দেহাইলা রূপেরও আগুনে তামা তামা হ্ইআ যামু,2
ওস্টানের দরকার,1
ওয়াও,2
ওয়াও,1
ওয়ান ডে ও সিরিজ বাংলাদেশ জিতল এ সাফল্য সম্পূর্ণ সরকারের টেস্ট সিরিজ লজ্জাজনক ভাবে হারল এর ব্যর্থতা বিরোধী দলের,2
কই থেকে এই ফেরিওয়ালীদের তুই ধরে বিরক্তিকর,1
কক্সবাজার সমুদ্র সৈকতের খানকিমাগী তাবিজ ফারুকের জন্য অপেক্ষা করছে এর মধ্যে একজনকে তাবিজ ফারুক পোন্দাইতে পোন্দাইতে গোয়া এত বেশি ফাঁক কইরা ফালাইছে যে ওই গুয়া দিয়ে হাতি ও ঢুকতে পারবে এদের মধ্যে একজন ট্রান্সজেন্ডার সেদিন রাতে কনডম দুর্ঘটনা না ঘটলে এই মাদারীরপুতরে দেখা লাগতো না,1
কখনো তেমন গালি দেওয়ার অভ্যাস নাই কিন্তু তোকে দেখলে কবিতার কথা মনে পরে যায়,1
কচি,1
কত আর ঔষধ বিক্রি,2
কতটা বেহায়া হলে এই মেয়ে ফেসবুকে যা করে,1
কথা,2
কফি বানালাম এখন শুধু কমেন্ট পড়ব,1
কবে,2
কম খাবেন না হয় মুটিয়ে যাবেন,1
কমেন্ট,1
কমেন্ট পড়তে আসছি,1
কমেন্ট পড়তে এসেছিলাম নিরাশ হইনি,1
কমেন্টে মজা মত,1
করলাম,2
করেই দাও বার,1
কলা খাবা,1
কাপড় খুলে আসলেই ভলো হত,1
